Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
102,The Martian,630161890,228433663,401728227,2015.csv,2015,36.24999648899745,63.750003511002554
103,Fast Five,626137675,209837675,416300000,2011.csv,2011,33.51302491101498,66.48697508898502
104,Men in Black 3,624026776,179020854,445005922,2012.csv,2012,28.68800841328001,71.31199158672
105,Iron Man 2,623933331,312433331,311500000,2010.csv,2010,50.07479412892594,49.92520587107407
106,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,34.79327732285988,65.20672267714012
107,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,28.478236403939437,71.52176359606057
108,Logan,619021436,226277068,392744368,2017.csv,2017,36.55399552270109,63.446004477298914
109,Life of Pi,609016565,124987023,484029542,2012.csv,2012,20.522762463776335,79.47723753622367
110,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,21.500375644284635,78.49962435571537
111,Tangled,592461732,200821936,391639796,2010.csv,2010,33.89618690173899,66.103813098261
112,The Croods,587204668,187168425,400036243,2013.csv,2013,31.874478388853678,68.12552161114633
113,The Hangover Part II,586764305,254464305,332300000,2011.csv,2011,43.367379854505636,56.632620145494364
114,Ready Player One,582890172,137690172,445200000,2018.csv,2018,23.62197522177471,76.37802477822528
115,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.2664363773636843,99.73356362263631
116,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,29.16998193212763,70.83001806787237
117,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,29.657103686975084,70.34289631302492
118,The Smurfs,563749323,142614158,421135165,2011.csv,2011,25.297441997992433,74.70255800200756
119,Cars 2,559852396,191452396,368400000,2011.csv,2011,34.196941438114344,65.80305856188566
120,Puss in Boots,554987477,149260504,405726973,2011.csv,2011,26.894391348581724,73.10560865141828
121,The Mermaid,553810228,3232685,550577543,2016.csv,2016,0.5837170995693493,99.41628290043066
122,Ted,549368315,218815487,330552828,2012.csv,2012,39.8303799155217,60.16962008447829
123,American Sniper,547426372,350126372,197300000,2014.csv,2014,63.9586234621521,36.04137653784791
